	lambda	sigma	e_probability
0	0.5	1	45.45
1	0.5	2	52.27
2	0.5	3	51.14
3	0.5	4	52.27
4	0.5	5	50.0
5	0.5	6	48.86
6	0.5	7	48.86
7	1.0	1	45.45
8	1.0	2	52.27
9	1.0	3	51.14
10	1.0	4	52.27
11	1.0	5	50.0
12	1.0	6	48.86
13	1.0	7	48.86
14	1.5	1	45.45
15	1.5	2	52.27
16	1.5	3	51.14
17	1.5	4	52.27
18	1.5	5	50.0
19	1.5	6	48.86
20	1.5	7	48.86
21	2.0	1	45.45
22	2.0	2	52.27
23	2.0	3	51.14
24	2.0	4	52.27
25	2.0	5	50.0
26	2.0	6	48.86
27	2.0	7	48.86
28	2.5	1	45.45
29	2.5	2	52.27
30	2.5	3	51.14
31	2.5	4	52.27
32	2.5	5	50.0
33	2.5	6	48.86
34	2.5	7	48.86
35	3.0	1	45.45
36	3.0	2	52.27
37	3.0	3	51.14
38	3.0	4	52.27
39	3.0	5	50.0
40	3.0	6	48.86
41	3.0	7	48.86
